Time,Ave_t,Max_t,Min_t,Prec
02/03/2022,13.0,19,7,0
01/03/2022,15.0,19,11,0
28/02/2022,17.5,24,11,0
27/02/2022,15.5,24,7,0
26/02/2022,12.0,19,5,0
25/02/2022,7.5,15,0,0
24/02/2022,5.0,10,0,0
23/02/2022,3.5,8,-1,0
22/02/2022,4.0,7,1,11.04
21/02/2022,3.5,6,1,0
20/02/2022,3.5,6,1,0
19/02/2022,3.5,6,1,0
18/02/2022,4.0,5,3,5.37
17/02/2022,5.0,7,3,3.79
16/02/2022,6.5,11,2,0
15/02/2022,6.5,11,2,0
14/02/2022,7.0,13,1,0
13/02/2022,9.0,14,4,4.57
12/02/2022,8.0,11,5,0
11/02/2022,8.5,11,6,2.35
10/02/2022,7.5,10,5,1.35
